dataset,model,signal,coverage,selective_accuracy,risk,n,small_n
CADEC,BioMistral-7B,combined_3,0.6,0.28276877761413843,0.7172312223858616,5658,False
CADEC,BioMistral-7B,combined_3,0.55,0.2920951156812339,0.7079048843187661,5658,False
CADEC,BioMistral-7B,combined_3,0.5,0.2926829268292683,0.7073170731707317,5658,False
CADEC,BioMistral-7B,combined_3,0.45,0.3050647820965842,0.6949352179034158,5658,False
CADEC,BioMistral-7B,combined_3,0.4,0.30653710247349825,0.6934628975265018,5658,False
CADEC,BioMistral-7B,combined_3,0.35,0.314992428066633,0.685007571933367,5658,False
CADEC,BioMistral-7B,combined_3,0.3,0.32273262661955243,0.6772673733804475,5658,False
CADEC,BioMistral-7B,combined_3,0.25,0.32720848056537105,0.672791519434629,5658,False
CADEC,BioMistral-7B,combined_3,0.2,0.3295053003533569,0.6704946996466431,5658,False
CADEC,BioMistral-7B,combined_3,0.15,0.3474676089517079,0.6525323910482921,5658,False
CADEC,BioMistral-7B,combined_3,0.1,0.35159010600706714,0.6484098939929328,5658,False
CADEC,BioMistral-7B,confidence,1.0,0.24407917992223402,0.755920820077766,5658,False
CADEC,BioMistral-7B,confidence,0.95,0.24386160714285715,0.7561383928571428,5658,False
CADEC,BioMistral-7B,confidence,0.9,0.24327508344786963,0.7567249165521304,5658,False
CADEC,BioMistral-7B,confidence,0.85,0.24282744282744284,0.7571725571725572,5658,False
CADEC,BioMistral-7B,confidence,0.8,0.2379058979456594,0.7620941020543406,5658,False
CADEC,BioMistral-7B,confidence,0.75,0.22879359095193214,0.7712064090480679,5658,False
CADEC,BioMistral-7B,confidence,0.7,0.23201211815198183,0.7679878818480181,5658,False
CADEC,BioMistral-7B,confidence,0.65,0.23436650353452965,0.7656334964654703,5658,False
CADEC,BioMistral-7B,confidence,0.6,0.23917525773195877,0.7608247422680412,5658,False
CADEC,BioMistral-7B,confidence,0.55,0.2442159383033419,0.7557840616966581,5658,False
CADEC,BioMistral-7B,confidence,0.5,0.24991162955107812,0.7500883704489218,5658,False
CADEC,BioMistral-7B,confidence,0.45,0.26580290537887713,0.7341970946211229,5658,False
CADEC,BioMistral-7B,confidence,0.4,0.2871024734982332,0.7128975265017667,5658,False
CADEC,BioMistral-7B,confidence,0.35,0.30843008581524484,0.6915699141847551,5658,False
CADEC,BioMistral-7B,confidence,0.3,0.3309776207302709,0.6690223792697291,5658,False
CADEC,BioMistral-7B,confidence,0.25,0.3660777385159011,0.6339222614840989,5658,False
CADEC,BioMistral-7B,confidence,0.2,0.4107773851590106,0.5892226148409894,5658,False
CADEC,BioMistral-7B,confidence,0.15,0.48881036513545345,0.5111896348645466,5658,False
CADEC,BioMistral-7B,confidence,0.1,0.6201413427561837,0.3798586572438163,5658,False
CADEC,BioMistral-7B,entropy,1.0,0.24407917992223402,0.755920820077766,5658,False
CADEC,BioMistral-7B,entropy,0.95,0.2513020833333333,0.7486979166666667,5658,False
CADEC,BioMistral-7B,entropy,0.9,0.2593756135872767,0.7406243864127233,5658,False
CADEC,BioMistral-7B,entropy,0.85,0.2661122661122661,0.7338877338877339,5658,False
CADEC,BioMistral-7B,entropy,0.8,0.27192401148663575,0.7280759885133643,5658,False
CADEC,BioMistral-7B,entropy,0.75,0.2766258246936852,0.7233741753063148,5658,False
CADEC,BioMistral-7B,entropy,0.7,0.28174703357737946,0.7182529664226205,5658,False
CADEC,BioMistral-7B,entropy,0.65,0.2903752039151713,0.7096247960848288,5658,False
CADEC,BioMistral-7B,entropy,0.6,0.29455081001472755,0.7054491899852724,5658,False
CADEC,BioMistral-7B,entropy,0.55,0.301413881748072,0.698586118251928,5658,False
