dataset,model,signal,coverage,selective_accuracy,risk,n,small_n,n_keep,n_total
MedMentions,FLAN-T5-base,margin,0.7,0.2674418604651162,0.7325581395348837,491,False,,
MedMentions,FLAN-T5-base,margin,0.65,0.278125,0.721875,491,False,,
MedMentions,FLAN-T5-base,margin,0.6,0.2949152542372881,0.7050847457627119,491,False,,
MedMentions,FLAN-T5-base,margin,0.55,0.3062730627306273,0.6937269372693726,491,False,,
MedMentions,FLAN-T5-base,margin,0.5,0.3130081300813008,0.6869918699186992,491,False,,
MedMentions,FLAN-T5-base,margin,0.45,0.3257918552036199,0.6742081447963801,491,False,,
MedMentions,FLAN-T5-base,margin,0.4,0.3451776649746192,0.6548223350253808,491,False,,
MedMentions,FLAN-T5-base,margin,0.35,0.3313953488372093,0.6686046511627908,491,False,,
MedMentions,FLAN-T5-base,margin,0.3,0.3581081081081081,0.6418918918918919,491,False,,
MedMentions,FLAN-T5-base,margin,0.25,0.3414634146341463,0.6585365853658536,491,False,,
MedMentions,FLAN-T5-base,margin,0.2,0.3838383838383838,0.6161616161616161,491,False,,
MedMentions,FLAN-T5-base,margin,0.15,0.4189189189189189,0.5810810810810811,491,False,,
MedMentions,FLAN-T5-base,margin,0.1,0.4,0.6,491,False,,
MedMentions,FLAN-T5-base,random,1.0,0.2097759674134419,0.790224032586558,491,False,,
MedMentions,FLAN-T5-base,random,0.95,0.2098501070663811,0.7901498929336189,491,False,,
MedMentions,FLAN-T5-base,random,0.9,0.2101809954751131,0.7898190045248868,491,False,,
MedMentions,FLAN-T5-base,random,0.85,0.2111244019138755,0.7888755980861244,491,False,,
MedMentions,FLAN-T5-base,random,0.8,0.2111959287531807,0.7888040712468193,491,False,,
MedMentions,FLAN-T5-base,random,0.75,0.2115176151761517,0.7884823848238482,491,False,,
MedMentions,FLAN-T5-base,random,0.7,0.2111918604651163,0.7888081395348837,491,False,,
MedMentions,FLAN-T5-base,random,0.65,0.2082812499999999,0.79171875,491,False,,
MedMentions,FLAN-T5-base,random,0.6,0.2081355932203389,0.791864406779661,491,False,,
MedMentions,FLAN-T5-base,random,0.55,0.2075645756457564,0.7924354243542435,491,False,,
MedMentions,FLAN-T5-base,random,0.5,0.208130081300813,0.791869918699187,491,False,,
MedMentions,FLAN-T5-base,random,0.45,0.2088235294117646,0.7911764705882354,491,False,,
MedMentions,FLAN-T5-base,random,0.4,0.2096446700507614,0.7903553299492385,491,False,,
MedMentions,FLAN-T5-base,random,0.35,0.2113372093023255,0.7886627906976744,491,False,,
MedMentions,FLAN-T5-base,random,0.3,0.2175675675675676,0.7824324324324324,491,False,,
MedMentions,FLAN-T5-base,random,0.25,0.2121951219512195,0.7878048780487805,491,False,,
MedMentions,FLAN-T5-base,random,0.2,0.2222222222222221,0.7777777777777778,491,False,,
MedMentions,FLAN-T5-base,random,0.15,0.2141891891891891,0.7858108108108108,491,False,,
MedMentions,FLAN-T5-base,random,0.1,0.217,0.7829999999999999,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,1.0,0.2281059063136456,0.7718940936863543,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.95,0.2355460385438972,0.7644539614561028,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.9,0.2443438914027149,0.755656108597285,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.85,0.2535885167464115,0.7464114832535885,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.8,0.2646310432569974,0.7353689567430026,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.75,0.2764227642276423,0.7235772357723578,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.7,0.2877906976744186,0.7122093023255813,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.65,0.30625,0.69375,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.6,0.3186440677966101,0.6813559322033899,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.55,0.3210332103321033,0.6789667896678967,491,False,,
MedMentions,Llama3-OpenBioLLM-8B,combined,0.5,0.3292682926829268,0.6707317073170731,491,False,,
