coverage,n_keep,n_total,selective_accuracy,risk,dataset,model,signal,n,small_n
0.4,56.0,139.0,0.19642857142857142,0.8035714285714286,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.35,49.0,139.0,0.22448979591836735,0.7755102040816326,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.3,42.0,139.0,0.21428571428571427,0.7857142857142857,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.25,35.0,139.0,0.22857142857142856,0.7714285714285715,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.2,28.0,139.0,0.21428571428571427,0.7857142857142857,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.15,21.0,139.0,0.23809523809523808,0.7619047619047619,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
0.1,14.0,139.0,0.21428571428571427,0.7857142857142857,SQuAD2,Mistral-7B-Instruct-v0.1,margin,139,True
1.0,139.0,139.0,0.12949640287769784,0.8705035971223022,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.95,133.0,139.0,0.13533834586466165,0.8646616541353384,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.9,126.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.85,119.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.8,112.0,139.0,0.15178571428571427,0.8482142857142857,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.75,105.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.7,98.0,139.0,0.15306122448979592,0.846938775510204,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.65,91.0,139.0,0.16483516483516483,0.8351648351648352,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.6,84.0,139.0,0.16666666666666666,0.8333333333333334,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.55,77.0,139.0,0.16883116883116883,0.8311688311688312,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.5,70.0,139.0,0.15714285714285714,0.8428571428571429,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.45,63.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.4,56.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.35,49.0,139.0,0.16326530612244897,0.8367346938775511,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.3,42.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.25,35.0,139.0,0.2,0.8,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.2,28.0,139.0,0.25,0.75,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.15,21.0,139.0,0.09523809523809523,0.9047619047619048,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
0.1,14.0,139.0,0.0,1.0,SQuAD2,Mistral-7B-Instruct-v0.1,combined,139,True
1.0,139.0,139.0,0.12949640287769784,0.8705035971223022,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.95,133.0,139.0,0.12781954887218044,0.8721804511278195,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.9,126.0,139.0,0.11904761904761904,0.8809523809523809,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.85,119.0,139.0,0.12605042016806722,0.8739495798319328,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.8,112.0,139.0,0.13392857142857142,0.8660714285714286,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.75,105.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.7,98.0,139.0,0.15306122448979592,0.846938775510204,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.65,91.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.6,84.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.55,77.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.5,70.0,139.0,0.12857142857142856,0.8714285714285714,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.45,63.0,139.0,0.12698412698412698,0.873015873015873,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.4,56.0,139.0,0.125,0.875,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.35,49.0,139.0,0.12244897959183673,0.8775510204081632,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.3,42.0,139.0,0.11904761904761904,0.8809523809523809,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.25,35.0,139.0,0.14285714285714285,0.8571428571428572,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.2,28.0,139.0,0.17857142857142858,0.8214285714285714,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.15,21.0,139.0,0.19047619047619047,0.8095238095238095,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
0.1,14.0,139.0,0.21428571428571427,0.7857142857142857,SQuAD2,Mistral-7B-Instruct-v0.1,combined_3,139,True
1.0,,,0.12949640287769787,0.8705035971223021,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.95,,,0.12894736842105262,0.8710526315789474,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.9,,,0.12380952380952381,0.8761904761904762,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.85,,,0.1264705882352941,0.8735294117647059,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.8,,,0.12589285714285714,0.8741071428571429,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.75,,,0.12380952380952381,0.8761904761904762,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.7,,,0.1260204081632653,0.8739795918367347,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.65,,,0.12472527472527473,0.8752747252747253,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.6,,,0.12916666666666665,0.8708333333333333,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.55,,,0.12857142857142856,0.8714285714285714,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.5,,,0.12714285714285714,0.8728571428571429,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.45,,,0.12380952380952381,0.8761904761904762,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.4,,,0.125,0.875,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
0.35,,,0.12448979591836735,0.8755102040816326,SQuAD2,Mistral-7B-Instruct-v0.1,random,139,True
