dataset,model,signal,coverage,selective_accuracy,risk
MedMentions,BioMistral-7B,random,0.35,0.21627906976744185,0.7837209302325582
MedMentions,BioMistral-7B,random,0.3,0.21114864864864868,0.7888513513513513
MedMentions,BioMistral-7B,random,0.25,0.20975609756097557,0.7902439024390244
MedMentions,BioMistral-7B,random,0.2,0.20757575757575758,0.7924242424242425
MedMentions,BioMistral-7B,random,0.15,0.19864864864864867,0.8013513513513513
MedMentions,BioMistral-7B,random,0.1,0.2,0.8
MedMentions,FLAN-T5-base,combined,1.0,0.20977596741344195,0.790224032586558
MedMentions,FLAN-T5-base,combined,0.95,0.21841541755888652,0.7815845824411135
MedMentions,FLAN-T5-base,combined,0.9,0.21945701357466063,0.7805429864253394
MedMentions,FLAN-T5-base,combined,0.85,0.22248803827751196,0.777511961722488
MedMentions,FLAN-T5-base,combined,0.8,0.22646310432569974,0.7735368956743003
MedMentions,FLAN-T5-base,combined,0.75,0.23035230352303523,0.7696476964769647
MedMentions,FLAN-T5-base,combined,0.7,0.23837209302325582,0.7616279069767442
MedMentions,FLAN-T5-base,combined,0.65,0.24375,0.75625
MedMentions,FLAN-T5-base,combined,0.6,0.24067796610169492,0.7593220338983051
MedMentions,FLAN-T5-base,combined,0.55,0.24723247232472326,0.7527675276752768
MedMentions,FLAN-T5-base,combined,0.5,0.26422764227642276,0.7357723577235773
MedMentions,FLAN-T5-base,combined,0.45,0.2895927601809955,0.7104072398190044
MedMentions,FLAN-T5-base,combined,0.4,0.3096446700507614,0.6903553299492386
MedMentions,FLAN-T5-base,combined,0.35,0.3430232558139535,0.6569767441860466
MedMentions,FLAN-T5-base,combined,0.3,0.3716216216216216,0.6283783783783784
MedMentions,FLAN-T5-base,combined,0.25,0.4065040650406504,0.5934959349593496
MedMentions,FLAN-T5-base,combined,0.2,0.40404040404040403,0.595959595959596
MedMentions,FLAN-T5-base,combined,0.15,0.36486486486486486,0.6351351351351351
MedMentions,FLAN-T5-base,combined,0.1,0.34,0.6599999999999999
MedMentions,FLAN-T5-base,entropy,1.0,0.20977596741344195,0.790224032586558
MedMentions,FLAN-T5-base,entropy,0.95,0.21841541755888652,0.7815845824411135
MedMentions,FLAN-T5-base,entropy,0.9,0.21945701357466063,0.7805429864253394
MedMentions,FLAN-T5-base,entropy,0.85,0.22248803827751196,0.777511961722488
MedMentions,FLAN-T5-base,entropy,0.8,0.21882951653944022,0.7811704834605597
MedMentions,FLAN-T5-base,entropy,0.75,0.23035230352303523,0.7696476964769647
MedMentions,FLAN-T5-base,entropy,0.7,0.23837209302325582,0.7616279069767442
MedMentions,FLAN-T5-base,entropy,0.65,0.24375,0.75625
MedMentions,FLAN-T5-base,entropy,0.6,0.2440677966101695,0.7559322033898305
MedMentions,FLAN-T5-base,entropy,0.55,0.24723247232472326,0.7527675276752768
MedMentions,FLAN-T5-base,entropy,0.5,0.2601626016260163,0.7398373983739837
MedMentions,FLAN-T5-base,entropy,0.45,0.2850678733031674,0.7149321266968326
MedMentions,FLAN-T5-base,entropy,0.4,0.29949238578680204,0.700507614213198
MedMentions,FLAN-T5-base,entropy,0.35,0.29069767441860467,0.7093023255813953
MedMentions,FLAN-T5-base,entropy,0.3,0.2905405405405405,0.7094594594594594
MedMentions,FLAN-T5-base,entropy,0.25,0.2682926829268293,0.7317073170731707
MedMentions,FLAN-T5-base,entropy,0.2,0.2727272727272727,0.7272727272727273
MedMentions,FLAN-T5-base,entropy,0.15,0.2702702702702703,0.7297297297297297
MedMentions,FLAN-T5-base,entropy,0.1,0.22,0.78
MedMentions,FLAN-T5-base,mapping_confidence,1.0,0.20977596741344195,0.790224032586558
MedMentions,FLAN-T5-base,mapping_confidence,0.95,0.22055674518201285,0.7794432548179872
MedMentions,FLAN-T5-base,mapping_confidence,0.9,0.22850678733031674,0.7714932126696833
MedMentions,FLAN-T5-base,mapping_confidence,0.85,0.22966507177033493,0.7703349282296651
MedMentions,FLAN-T5-base,mapping_confidence,0.8,0.2340966921119593,0.7659033078880407
MedMentions,FLAN-T5-base,mapping_confidence,0.75,0.24932249322493225,0.7506775067750677
MedMentions,FLAN-T5-base,mapping_confidence,0.7,0.25872093023255816,0.7412790697674418
MedMentions,FLAN-T5-base,mapping_confidence,0.65,0.265625,0.734375
MedMentions,FLAN-T5-base,mapping_confidence,0.6,0.28135593220338984,0.7186440677966102
MedMentions,FLAN-T5-base,mapping_confidence,0.55,0.2878228782287823,0.7121771217712177
MedMentions,FLAN-T5-base,mapping_confidence,0.5,0.2967479674796748,0.7032520325203252
MedMentions,FLAN-T5-base,mapping_confidence,0.45,0.2895927601809955,0.7104072398190044
MedMentions,FLAN-T5-base,mapping_confidence,0.4,0.2893401015228426,0.7106598984771574
MedMentions,FLAN-T5-base,mapping_confidence,0.35,0.29069767441860467,0.7093023255813953
MedMentions,FLAN-T5-base,mapping_confidence,0.3,0.2972972972972973,0.7027027027027026
