dataset,model,signal,coverage,selective_accuracy,risk
CADEC,BioMistral-7B,combined,0.2,0.3286219081272085,0.6713780918727915
CADEC,BioMistral-7B,combined,0.15,0.37691401648998824,0.6230859835100118
CADEC,BioMistral-7B,combined,0.1,0.42579505300353354,0.5742049469964665
CADEC,BioMistral-7B,entropy,1.0,0.24403604877186783,0.7559639512281322
CADEC,BioMistral-7B,entropy,0.95,0.2512553468476846,0.7487446531523154
CADEC,BioMistral-7B,entropy,0.9,0.2593246957204554,0.7406753042795446
CADEC,BioMistral-7B,entropy,0.85,0.2660569528164623,0.7339430471835378
CADEC,BioMistral-7B,entropy,0.8,0.27186395759717313,0.7281360424028269
CADEC,BioMistral-7B,entropy,0.75,0.27656065959952886,0.7234393404004711
CADEC,BioMistral-7B,entropy,0.7,0.281675921251893,0.718324078748107
CADEC,BioMistral-7B,entropy,0.65,0.29029627616200054,0.7097037238379995
CADEC,BioMistral-7B,entropy,0.6,0.2944640753828033,0.7055359246171967
CADEC,BioMistral-7B,entropy,0.55,0.30131705750080306,0.6986829424991969
CADEC,BioMistral-7B,entropy,0.5,0.30459363957597174,0.6954063604240283
CADEC,BioMistral-7B,entropy,0.45,0.31173930113859444,0.6882606988614055
CADEC,BioMistral-7B,entropy,0.4,0.3131625441696113,0.6868374558303887
CADEC,BioMistral-7B,entropy,0.35,0.31953558808682486,0.6804644119131751
CADEC,BioMistral-7B,entropy,0.3,0.3215547703180212,0.6784452296819787
CADEC,BioMistral-7B,entropy,0.25,0.3399293286219081,0.6600706713780919
CADEC,BioMistral-7B,entropy,0.2,0.338339222614841,0.661660777385159
CADEC,BioMistral-7B,entropy,0.15,0.3415783274440518,0.6584216725559482
CADEC,BioMistral-7B,entropy,0.1,0.36042402826855124,0.6395759717314488
CADEC,BioMistral-7B,mapping_confidence,1.0,0.24403604877186783,0.7559639512281322
CADEC,BioMistral-7B,mapping_confidence,0.95,0.24381625441696114,0.7561837455830389
CADEC,BioMistral-7B,mapping_confidence,0.9,0.24322732626619553,0.7567726737338045
CADEC,BioMistral-7B,mapping_confidence,0.85,0.24277696944502183,0.7572230305549782
CADEC,BioMistral-7B,mapping_confidence,0.8,0.23785335689045936,0.7621466431095406
CADEC,BioMistral-7B,mapping_confidence,0.75,0.2287396937573616,0.7712603062426384
CADEC,BioMistral-7B,mapping_confidence,0.7,0.2319535588086825,0.7680464411913175
CADEC,BioMistral-7B,mapping_confidence,0.65,0.23430279967382442,0.7656972003261756
CADEC,BioMistral-7B,mapping_confidence,0.6,0.23910482921083628,0.7608951707891637
CADEC,BioMistral-7B,mapping_confidence,0.55,0.24413748795374238,0.7558625120462577
